,judul berita,penerbit,sinopsis,link
152,FWJ Indonesia Gandeng KPU Karawang Gelar Sosialisasi dan Pendidikan Pemilih Pilkada 2024 Bagi Masyarakat Nelayan,ditpsd.kemdikbud.go.id,Unrinews. Rektor Universitas Riau (Unri) Prof Dr Sri Indarti SE MSi bertindak selaku Pembina Upacara pada saat upacara peringatan Hari Ulang...1 bulan lalu,https://ditpsd.kemdikbud.go.id/artikel/detail/hardiknas-2024-momentum-merayakan-capaian-dan-menghayati-mimpi-pendidikan-indonesia&sa=U&ved=2ahUKEwiO3_jKne-IAxXSw6ACHRrMJxk4lgEQxfQBegQIBRAC&usg=AOvVaw38C_j8wbMClwp4Kj7oOMpY
153,Isi Kemerdekaan dengan Melanjutkan Perjuangan untuk Memajukan Pendidikan Indonesia,Akurat Banten,"Pemerintah Republik Indonesia melalui Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi (Kemendikbudristek) dan Pemerintah Papua Nugini...2 bulan lalu",https://banten.akurat.co/news/1325133161/dinas-pendidikan-dan-majelis-ulama-indonesia-kota-tangerang-diduga-adakan-pungutan-liar-berkedok-infaq-dan-shodaqoh-kepada-sejumlah-siswa&sa=U&ved=2ahUKEwiO3_jKne-IAxXSw6ACHRrMJxk4lgEQxfQBegQIAxAC&usg=AOvVaw1Qd8UV8Cf32w_JZKWl8f-c
154,Indonesia dan Papua Nugini perkuat kerja sama bidang pendidikan,ANTARA News,Apakah pendidikan di Indonesia telah berhasil menjadi alat pembebasan atau malah terjebak dalam sistem yang membelenggu?4 minggu lalu,https://www.antaranews.com/berita/4293763/pertamina-gelar-pen-70-di-79-sd-majukan-dunia-pendidikan-indonesia&sa=U&ved=2ahUKEwiO3_jKne-IAxXSw6ACHRrMJxk4lgEQxfQBegQIAhAC&usg=AOvVaw2sliXtR8RPCgsGP3TX8n_8
155,Simalakama Pendidikan di Indonesia,Pusat Edukasi Antikorupsi KPK,"Saat melakukan Sosialisasi 4 Pilar MPR RI di hadapan ratusan mahasiswa dari berbagai kampus di Kota Bandung pada Sabtu 31 Agustus lalu,...1 bulan lalu",https://aclc.kpk.go.id/aksi-informasi/Eksplorasi/20240829-perkuat-pendidikan-dan-berantas-korupsi-demi-indonesia-emas&sa=U&ved=2ahUKEwiO3_jKne-IAxXSw6ACHRrMJxk4lgEQxfQBegQIBhAC&usg=AOvVaw1vUg7eLndrO0X9RMg5_Mem
156,Ledia Ajak Mahasiswa Cermati Persoalan Pendidikan di Indonesia,File Satu,"Kota Pelajar Terbaik QS WUR 2025 · Singapura, Singapura: skor 89,6 · Kuala Lumpur, Malaysia: skor 85,4 · Bangkok, Thailand: skor 71,8 · Manila,...2 bulan lalu",https://filesatu.co.id/fwj-indonesia-gandeng-kpu-karawang-gelar-sosialisasi-dan-pendidikan-pemilih-pilkada-2024-bagi-masyarakat-nelayan/&sa=U&ved=2ahUKEwiO3_jKne-IAxXSw6ACHRrMJxk4lgEQxfQBegQICBAC&usg=AOvVaw1G2YxwoiHoHlCqobVYxPCK
157,"Daftar Negara dengan Sistem Pendidikan Terbaik di Asia Tenggara, Ada Indonesia?",Universitas Riau,Kanwil Kemenag Lampung menerima piagam penegerian dari Ditjen Pendidikan Islam Kementerian Agama Republik Indonesia untuk 6 madrasah.5 hari lalu,https://unri.ac.id/isi-kemerdekaan-dengan-melanjutkan-perjuangan-untuk-memajukan-pendidikan-indonesia/&sa=U&ved=2ahUKEwiO3_jKne-IAxXSw6ACHRrMJxk4lgEQxfQBegQIABAC&usg=AOvVaw3gnYgX5KpECVQt2qH_2IT_
158,6 Madrasah di Lampung Resmi Dikelola Kemenag -,ANTARA News,"Penulis: Nizam, dkk ISBN: sedang proses Jumlah halaman: 212 halaman Buku 4 Tahun Perjalanan Ditjen Diktiristek Mentransformasi Pendidikan...1 bulan lalu",https://www.antaranews.com/berita/4200969/indonesia-dan-papua-nugini-perkuat-kerja-sama-bidang-pendidikan&sa=U&ved=2ahUKEwiO3_jKne-IAxXSw6ACHRrMJxk4lgEQxfQBegQIBxAC&usg=AOvVaw0Zhq_A-9_Nz-P3cAqdWJgL
159,4 Tahun Perjalanan Ditjen Diktiristek Mentransformasi Pendidikan Tinggi Indonesia 2019-2024,Kompas.com,"Audiensi tersebut membahas tindak lanjut kunjungan kerja BP2MI ke Tawau, Malaysia pada 14 Juni 2024 lalu, dalam rangka penempatan Pekerja Migran...3 bulan lalu",https://www.kompas.com/edu/read/2024/09/06/111721171/simalakama-pendidikan-di-indonesia&sa=U&ved=2ahUKEwiO3_jKne-IAxXSw6ACHRrMJxk4lgEQxfQBegQIBBAC&usg=AOvVaw0LY4CbBdVy3YPGcoa1ET2S
160,"Bahas Isu Pendidikan Anak Pekerja Migran Indonesia di Tawau Malaysia, Konsul RI Tawau Temui BP2MI",Fraksi PKS,Kemendikbudristek sendiri telah melakukan transformasi besar di bawah payung kebijakan Merdeka Belajar. Melalui Merdeka Belajar...2 bulan lalu,https://fraksi.pks.id/2024/09/04/ledia-ajak-mahasiswa-cermati-persoalan-pendidikan-di-indonesia/&sa=U&ved=2ahUKEwiWnLHLne-IAxWsyjgGHVvgKHU4oAEQxfQBegQIBhAC&usg=AOvVaw23bqfnCZef5GJrQ8Jwdx-x
161,Indonesia-Filipina Perkuat Kerja Sama bidang Pendidikan,detikcom,"Indonesia adalah negara dengan penduduk Muslim terbesar negara mayoritas di dunia, dengan populasi tertinggi keempat di planet ini, tersebar...1 bulan lalu",https://www.detik.com/edu/edutainment/d-7438598/daftar-negara-dengan-sistem-pendidikan-terbaik-di-asia-tenggara-ada-indonesia&sa=U&ved=2ahUKEwiWnLHLne-IAxWsyjgGHVvgKHU4oAEQxfQBegQICRAC&usg=AOvVaw0ZNePaqWOxH7SXFU4W9dat
162,Permasalahan Literasi Agama dalam Pendidikan Indonesia,Lampost.co -,"IMSCC 2024 Babak Baru Demi Perubahan dan Inovasi Pendidikan Indonesia ... Bandung, UPI. ... Kegiatan ini diharapkan dapat menjadi pemantik agar...1 bulan lalu",https://lampost.co/lampung/bandar-lampung/6-madrasah-di-lampung-resmi-dikelola-kemenag/&sa=U&ved=2ahUKEwiWnLHLne-IAxWsyjgGHVvgKHU4oAEQxfQBegQIAhAC&usg=AOvVaw1SX72CUS55D-J7LFA-Vvox
163,IMSCC 2024 Babak Baru Demi Perubahan dan Inovasi Pendidikan Indonesia,Kementerian Pendidikan dan Kebudayaan,"Menurut survei ini, peringkat 10 terbaik selain Inggris, AS, dan Australia adalah Belanda, Swedia, Prancis, Denmark, Kanada, Jerman, dan Swiss.2 bulan lalu",https://dikti.kemdikbud.go.id/epustaka/4-tahun-perjalanan-ditjen-diktiristek-mentransformasi-pendidikan-tinggi-indonesia-2019-2024/&sa=U&ved=2ahUKEwiWnLHLne-IAxWsyjgGHVvgKHU4oAEQxfQBegQIARAC&usg=AOvVaw3Q74OQZ9Hz08NuXikVVdZA
164,"3 Negara Ini Punya Sistem Pendidikan Terbaik di Dunia, Bagaimana dengan Indonesia?",BP2MI | BADAN PELINDUNGAN PEKERJA MIGRAN INDONESIA,"Berdampak terhadap Indonesia Emas 2045, Peneliti: Pendidikan Anak Usia Dini Jadi Fokus Riset BRIN ... Jakarta - Humas BRIN. Pendidikan anak usia...2 bulan lalu",https://bp2mi.go.id/berita-detail/bahas-isu-pendidikan-anak-pekerja-migran-indonesia-di-tawau-malaysia-konsul-ri-tawau-temui-bp2mi&sa=U&ved=2ahUKEwiWnLHLne-IAxWsyjgGHVvgKHU4oAEQxfQBegQIBBAC&usg=AOvVaw2c_eh_ySkAOtwI2Z6HzsNw
165,"Berdampak terhadap Indonesia Emas 2045, Peneliti: Pendidikan Anak Usia Dini Jadi Fokus Riset BRIN",Suara Surabaya,"Burhanuddin Abdullah menegaskan Prabowo akan fokus mengusung kebijakan strategis di bidang pangan, industrialisasi, pendidikan, kesehatan,...6 hari lalu",https://www.suarasurabaya.net/kelanakota/2024/indonesia-filipina-perkuat-kerja-sama-bidang-pendidikan/&sa=U&ved=2ahUKEwiWnLHLne-IAxWsyjgGHVvgKHU4oAEQxfQBegQIBxAC&usg=AOvVaw3toXGTkYEMfGyqQ-hBhy0o
166,"Prabowo Langsung Nge-gas di Januari, Ini Program yang Bakal Digeber!",Beranda UNAIR,Rektor Universitas Pendidikan Indonesia Dorong PTN Forum Fakultas Bahasa dan Seni Indonesia Mewujudkan PTNBH dalam Upaya Menjadi LPTK Berkelas...2 bulan lalu,https://unair.ac.id/permasalahan-literasi-agama-dalam-pendidikan-indonesia/&sa=U&ved=2ahUKEwiWnLHLne-IAxWsyjgGHVvgKHU4oAEQxfQBegQIABAC&usg=AOvVaw3_sGQs6SRJPZst8fAhPSR0
167,Rektor Universitas Pendidikan Indonesia Dorong PTN Forum Fakultas Bahasa dan Seni Indonesia Mewujudkan PTNBH dalam Upaya Menjadi LPTK Berkelas Dunia – BERITA UPI,BERITA UPI,"Dari kesulitan akademik hingga masalah sosial, tantangan ini dapat menjadi penghalang besar bagi siswa yang ingin berhasil. Namun, dengan...1 bulan lalu",https://berita.upi.edu/imscc-2024-babak-baru-demi-perubahan-dan-inovasi-pendidikan-indonesia/&sa=U&ved=2ahUKEwiWnLHLne-IAxWsyjgGHVvgKHU4oAEQxfQBegQICBAC&usg=AOvVaw1a2kjbl55Yuw572_1L5CN1
168,"Seminar Semangat Pendidikan Indonesia, Menghadapi Tantangan dalam Pendidikan - Kompasiana.com",detikcom,"Infrastruktur pendidikan di Indonesia mengalami banyak tantangan. Banyak sekolah, terutama di daerah terpencil, masih kekurangan fasilitas dasar...3 bulan lalu",https://www.detik.com/edu/detikpedia/d-7451941/3-negara-ini-punya-sistem-pendidikan-terbaik-di-dunia-bagaimana-dengan-indonesia&sa=U&ved=2ahUKEwiWnLHLne-IAxWsyjgGHVvgKHU4oAEQxfQBegQIAxAC&usg=AOvVaw3thc49mlVZTdVBckOQjboT
169,Akses dan Kualitas Pendidikan di Indonesia - Kompasiana.com,Badan Riset dan Inovasi Nasional,"Kurikulum Merdeka diluncurkan oleh Kemendikbudristek pada Februari 2022, sebagai salah satu program Merdeka Belajar untuk meningkatkan kualitas...4 bulan lalu",https://www.brin.go.id/news/119683/berdampak-terhadap-indonesia-emas-2045-peneliti-pendidikan-anak-usia-dini-jadi-fokus-riset-brin&sa=U&ved=2ahUKEwiWnLHLne-IAxWsyjgGHVvgKHU4oAEQxfQBegQIBRAC&usg=AOvVaw1MyE7FK0Dqmur8Y8S7o-qx
170,Apa Kurikulum Pendidikan Indonesia Saat Ini?,CNBC Indonesia,"Tingkatkan Kerjasama Pendidikan, Indonesia dan Al-Azhar Siapkan Generasi Penerus Islam Wasathiyyah ... Jakarta, wapresri.go.id – Kerja sama di...2 bulan lalu",https://www.cnbcindonesia.com/research/20240926110756-128-574760/prabowo-langsung-nge-gas-di-januari-ini-program-yang-bakal-digeber&sa=U&ved=2ahUKEwjus8rLne-IAxVtSWwGHTY1Ceg4qgEQxfQBegQIBBAC&usg=AOvVaw2VXkQWdLZ8LWs8x_6Rh1mK
171,"Tingkatkan Kerjasama Pendidikan, Indonesia dan Al-Azhar Siapkan Generasi Penerus Islam Wasathiyyah",BERITA UPI,"Alokasi anggaran pendidikan (Rp triliun) ... Anggaran terbesar dialokasikan untuk Transfer ke Daerah yakni Rp 346,56 triliun atau 52,1%. Anggaran...4 bulan lalu",https://berita.upi.edu/rektor-universitas-pendidikan-indonesia-dorong-ptn-forum-fakultas-bahasa-dan-seni-indonesia-mewujudkan-ptnbh-dalam-upaya-menjadi-lptk-berkelas-dunia/&sa=U&ved=2ahUKEwjus8rLne-IAxVtSWwGHTY1Ceg4qgEQxfQBegQICRAC&usg=AOvVaw1mAh8qbvKa-Ap_FPkP_Mik
172,"Tak Cuma Nadiem, Dana Pendidikan Rp 665 T Mengalir ke Sini Juga",Kompasiana.com,Sebanyak 15 universitas dari Indonesia dan Australia melakukan kerja sama untuk meningkatkan kualitas Pendidikan Guru Indonesia-Australia...1 minggu lalu,https://www.kompasiana.com/kknsangkanurip24/66bdfa8434777c3e021865a2/seminar-semangat-pendidikan-indonesia-menghadapi-tantangan-dalam-pendidikan&sa=U&ved=2ahUKEwjus8rLne-IAxVtSWwGHTY1Ceg4qgEQxfQBegQIAhAC&usg=AOvVaw1l3EoztkP3_Rz1IwKoEOq2
173,"Tingkatkan Kualitas Pendidikan Guru, 15 Universitas dari Indonesia dan Australia Bekerja Sama",Kompasiana.com,"Dari Kekerasan hingga Kesenjangan Upah, Tantangan Bagi Kaum Perempuan di Dunia Pendidikan Indonesia · Kunci Jawaban PAI Kelas 11 Halaman 132...1 bulan lalu",https://www.kompasiana.com/muammarhilmi0924/6682be2dc925c47f860034d2/akses-dan-kualitas-pendidikan-di-indonesia&sa=U&ved=2ahUKEwjus8rLne-IAxVtSWwGHTY1Ceg4qgEQxfQBegQIBhAC&usg=AOvVaw3HreIc_cbrpq29e7UgtMFt
174,"Dari Kekerasan hingga Kesenjangan Upah, Tantangan Bagi Kaum Perempuan di Dunia Pendidikan Indonesia",detikcom,Adapun program pemerintah Indonesia diantaranya adalah Bantuan Operasional Sekolah atau sering dikenal dengan Dana BOS. Dana BOS ini adalah...3 bulan lalu,https://www.detik.com/bali/berita/d-7328652/apa-kurikulum-pendidikan-indonesia-saat-ini&sa=U&ved=2ahUKEwjus8rLne-IAxVtSWwGHTY1Ceg4qgEQxfQBegQIABAC&usg=AOvVaw23pDq0sJXes6N7otUhHiMV
175,Efektivitas Kebijakan Pajak dalam Pemerataan Pendidikan Indonesia,Wakil Presiden Republik Indonesia,"Akibatnya, program-program perbaikan pendidikan tidak berjalan dengan semestinya dan kualitas pendidikan tetap rendah. Ketidakmerataan...4 bulan lalu",https://www.wapresri.go.id/tingkatkan-kerjasama-pendidikan-indonesia-dan-al-azhar-siapkan-generasi-penerus-islam-wasathiyyah/&sa=U&ved=2ahUKEwjus8rLne-IAxVtSWwGHTY1Ceg4qgEQxfQBegQICBAC&usg=AOvVaw2MCNJPIctErRouX-YUxjhi
176,Ketidakmerataan dan Bobroknya Sistem Pendidikan di Indonesia - kumparan.com,CNBC Indonesia,Pencapaian UM sebagai peringkat pertama dalam Bidang Keilmuan Pendidikan di Indonesia adalah hasil dari dedikasi dan kerja keras seluruh civitas...5 bulan lalu,https://www.cnbcindonesia.com/research/20240521154754-128-540170/tak-cuma-nadiem-dana-pendidikan-rp-665-t-mengalir-ke-sini-juga&sa=U&ved=2ahUKEwjus8rLne-IAxVtSWwGHTY1Ceg4qgEQxfQBegQIAxAC&usg=AOvVaw32yj8YRflT0k0frJqddppf
177,UM Menjadi Kampus Terbaik dalam Bidang Keilmuan Pendidikan di Indonesia versi SIR 2024,iNews.ID,"Sehubungan dengan masalah PDN tersebut, masa pendaftaran Beasiswa Pendidikan Indonesia Dalam Negeri dan BPI Pathway Program Doktoral Luar Negeri...2 bulan lalu",https://purwokerto.inews.id/read/497312/tingkatkan-kualitas-pendidikan-guru-15-universitas-dari-indonesia-dan-australia-bekerja-sama&sa=U&ved=2ahUKEwjus8rLne-IAxVtSWwGHTY1Ceg4qgEQxfQBegQIBxAC&usg=AOvVaw2kZd_Tq7DJ_2JrzAPtyp8y
178,"Pendaftaran Beasiswa Pendidikan Indonesia Diperpanjang, Peserta Unggah Ulang Dokumen",Tribunnews.com,Pendidikan Islam merupakan bagian penting dari pendidikan agama yang berperan dalam membentuk individu yang memiliki akhlak Islami. Melalui...6 bulan lalu,https://www.tribunnews.com/nasional/2024/08/27/dari-kekerasan-hingga-kesenjangan-upah-tantangan-bagi-kaum-perempuan-di-dunia-pendidikan-indonesia&sa=U&ved=2ahUKEwjus8rLne-IAxVtSWwGHTY1Ceg4qgEQxfQBegQIARAC&usg=AOvVaw3XqOeHEd1St8EynIkNsnvc
179,Kemajuan Pendidikan Islam di Indonesia Perlu Dukungan Data Berkualitas,Pajak.com,"Pada dasarnya, setiap mahasiswa memiliki dana yang diperoleh dari program Pertukaran Mahasiswa Merdeka. Namun demikian, dari dana tersebut...4 bulan lalu",https://www.pajak.com/pajak/efektivitas-kebijakan-pajak-dalam-pemerataan-pendidikan-indonesia/&sa=U&ved=2ahUKEwjus8rLne-IAxVtSWwGHTY1Ceg4qgEQxfQBegQIBRAC&usg=AOvVaw0Ovg0R_GgcSJPiVuULlMNp
180,"Kontribusi Sosial Pertukaran Mahasiswa Merdeka Angkatan 4 Universitas Pendidikan Indonesia, Tutup Aktivitas Modul Nusantara – BERITA UPI",Kumparan,"PEMALANG – Guna menghadapi dinamika kehidupan dimasa mendatang, penguatan pendidikan karakter (PPK) bagi peserta didik sangatlah penting untuk disiapkan,...3 bulan lalu",https://kumparan.com/hayatinnufus231/ketidakmerataan-dan-bobroknya-sistem-pendidikan-di-indonesia-22pS7OEqFku&sa=U&ved=2ahUKEwiA7OLLne-IAxXgxTgGHZTZI-M4tAEQxfQBegQIBRAC&usg=AOvVaw1Ltym10AjNWxfb_aZ1neUz
181,"Pendidikan Karakter, Bekal Generasi Emas Indonesia",Universitas Negeri Malang (UM),"Hashim Djojohadikusumo optimistis makan bergizi gratis mampu tingkatkan kualitas pendidikan di Indonesia. Menurutnya, itu adalah investasi...1 bulan lalu",https://um.ac.id/rilis/um-menjadi-kampus-terbaik-dalam-bidang-keilmuan-pendidikan-di-indonesia-versi-sir-2024/&sa=U&ved=2ahUKEwiA7OLLne-IAxXgxTgGHZTZI-M4tAEQxfQBegQICRAC&usg=AOvVaw28e1-OXAkqXKUuMQj73E-t
182,Hashim Sebut Makan Bergizi Gratis Bakal Tingkatkan Ranking Pendidikan Indonesia,iNews.ID,Sekretaris Kabinet (Seskab) Pramono Anung menekankan pentingnya kolaborasi dan sinergi seluruh pemangku kepentingan guna memajukan...5 bulan lalu,https://purwokerto.inews.id/read/497312/tingkatkan-kualitas-pendidikan-guru-15-universitas-dari-indonesia-dan-australia-bekerja-sama&sa=U&ved=2ahUKEwiA7OLLne-IAxXgxTgGHZTZI-M4tAEQxfQBegQIBBAC&usg=AOvVaw3bFWziHEXnbXh5jMTjI47t
183,"Hardiknas 2024, Seskab Dorong Kolaborasi Majukan Pendidikan Nasional",detikcom,"Anindito Aditomo, menjelaskan UN hanya ujian untuk kelulusan.1 minggu lalu",https://www.detik.com/edu/beasiswa/d-7442969/pendaftaran-beasiswa-pendidikan-indonesia-diperpanjang-peserta-unggah-ulang-dokumen&sa=U&ved=2ahUKEwiA7OLLne-IAxXgxTgGHZTZI-M4tAEQxfQBegQIAhAC&usg=AOvVaw3XZl0XTodfZWarzDhPxBav
184,Kampus Luar Negeri Tak Terima Lulusan SMA Indonesia Gegara UN Dihapus? Ini Kata Kemendikbudristek,UIN Jakarta,Surabaya – Sebanyak 55 mahasiswa Program Pendidikan Profesi Guru (PPG) Prajabatan Gelombang 2 Tahun 2023 dari Universitas Nahdlatul Ulama...1 bulan lalu,https://uinjkt.ac.id/id/kemajuan-pendidikan-islam-di-indonesia-perlu-dukungan-data-berkualitas&sa=U&ved=2ahUKEwiA7OLLne-IAxXgxTgGHZTZI-M4tAEQxfQBegQIARAC&usg=AOvVaw0vEmyDkEzhXOm0KpmK2Qqq
185,Gelar Karya Mahasiswa PPG UNUSA 2024: Membangun Kreativitas dan Kepemimpinan dalam Pendidikan Indonesia,BERITA UPI,Transformasi pendidikan yang tidak merata dapat meningkatkan kesenjangan sosial dan ekonomi dalam masyarakat. Akses terbatas terhadap pendidikan...5 bulan lalu,https://berita.upi.edu/kontribusi-sosial-pertukaran-mahasiswa-merdeka-angkatan-4-universitas-pendidikan-indonesia-tutup-aktivitas-modul-nusantara/&sa=U&ved=2ahUKEwiA7OLLne-IAxXgxTgGHZTZI-M4tAEQxfQBegQIABAC&usg=AOvVaw0FtHifk8bygDnIu7hyK5V5
186,Sisi Gelap Transformasi Pendidikan Indonesia di Era Modern,Pemerintah Kabupaten Pemalang,"Mendikbud Sebut Kartu Indonesia Pintar Upaya Tingkatkan Kualitas Pendidikan · Baca juga: 7 Tahun Pelaksanaan PPDB, P2G: Manipulasi Kartu...1 bulan lalu",https://pemalangkab.go.id/2020/02/pendidikan-karakter-bekal-generasi-emas-indonesia&sa=U&ved=2ahUKEwiA7OLLne-IAxXgxTgGHZTZI-M4tAEQxfQBegQICBAC&usg=AOvVaw3JtcOuTNzoEYyO-tjp6mxy
187,Mendikbud Sebut Kartu Indonesia Pintar Upaya Tingkatkan Kualitas Pendidikan,detikNews,KEMENKO PMK — Indonesia mulai menjalin kerja sama dengan China di bidang pendidikan dan pelatihan vokasi. Kerjasama ini terwujud atas...5 bulan lalu,https://news.detik.com/berita/d-7472320/hashim-sebut-makan-bergizi-gratis-bakal-tingkatkan-ranking-pendidikan-indonesia&sa=U&ved=2ahUKEwiA7OLLne-IAxXgxTgGHZTZI-M4tAEQxfQBegQIBhAC&usg=AOvVaw0CJGCu_-VTa-X52JOANu2_
188,"Demi Wujudkan SDM Unggul, Pemerintah Indonesia dan Pemerintah China Jalin Kerjasama di Bidang Pendidikan dan Pelatihan Vokasi",Sekretariat Kabinet Republik Indonesia,"Sesuai dengan pidato Rektor dalam upacara, Universitas Jember telah membuktikan dengan menghasilkan lulusan dengan prestasi yang membanggakan.5 bulan lalu",https://setkab.go.id/hardiknas-2024-seskab-dorong-kolaborasi-majukan-pendidikan-nasional/&sa=U&ved=2ahUKEwiA7OLLne-IAxXgxTgGHZTZI-M4tAEQxfQBegQIAxAC&usg=AOvVaw2uWUKERw5flqa1zmSgu-Se
189,"Bergerak Bersama, Majukan Pendidikan Indonesia",Medcom.id,"Meskipun lulusan perguruan tinggi bukan menjadi faktor satu-satunya untuk mencapai kehidupan yang stabil, namun pendidikan merupakan hak warga...2 bulan lalu",https://www.medcom.id/pendidikan/news-pendidikan/eN4mvOWb-kampus-luar-negeri-tak-terima-lulusan-sma-indonesia-gegara-un-dihapus-ini-kata-kemendikbudristek&sa=U&ved=2ahUKEwiA7OLLne-IAxXgxTgGHZTZI-M4tAEQxfQBegQIBxAC&usg=AOvVaw3marOsA_W7HENvuf51P3Ad
190,Lingkaran Ekonomi dan Pendidikan di Indonesia,detikNews,"Wajib Tonton, Ini 9 Film Indonesia Bertema Pendidikan · 9. Adriana (2013) · 8. Cita-citaku Setinggi Tanah (2011) · 7. Semesta Mendukung (2011).5 bulan lalu",https://news.detik.com/berita/d-7472320/hashim-sebut-makan-bergizi-gratis-bakal-tingkatkan-ranking-pendidikan-indonesia&sa=U&ved=2ahUKEwi-kKLMne-IAxV6d2wGHdnRPD84vgEQxfQBegQIAhAC&usg=AOvVaw2uVBmbHMxS2H83zTIZFYZP
